해수욕장일일일자,연도,월,일,요일,예상 방문자수,예상 혼잡도,해수욕장이름,시/도,시/군/구,위도,경도
2025-06-04,2025,6,4,2,1,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-05,2025,6,5,3,1,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-06,2025,6,6,4,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-07,2025,6,7,5,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-08,2025,6,8,6,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-09,2025,6,9,0,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-10,2025,6,10,1,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-11,2025,6,11,2,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-12,2025,6,12,3,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-13,2025,6,13,4,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-14,2025,6,14,5,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-15,2025,6,15,6,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-16,2025,6,16,0,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-17,2025,6,17,1,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-18,2025,6,18,2,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-19,2025,6,19,3,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-20,2025,6,20,4,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-21,2025,6,21,5,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-22,2025,6,22,6,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-23,2025,6,23,0,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-24,2025,6,24,1,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-25,2025,6,25,2,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-26,2025,6,26,3,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-27,2025,6,27,4,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-28,2025,6,28,5,12,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-29,2025,6,29,6,37,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-30,2025,6,30,0,2,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-01,2025,7,1,1,27,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-02,2025,7,2,2,19,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-03,2025,7,3,3,31,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-04,2025,7,4,4,48,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-05,2025,7,5,5,154,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-06,2025,7,6,6,117,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-07,2025,7,7,0,59,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-08,2025,7,8,1,39,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-09,2025,7,9,2,35,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-10,2025,7,10,3,30,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-11,2025,7,11,4,49,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-12,2025,7,12,5,106,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-13,2025,7,13,6,92,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-14,2025,7,14,0,46,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-15,2025,7,15,1,33,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-16,2025,7,16,2,27,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-17,2025,7,17,3,32,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-18,2025,7,18,4,73,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-19,2025,7,19,5,131,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-20,2025,7,20,6,90,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-21,2025,7,21,0,45,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-22,2025,7,22,1,42,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-23,2025,7,23,2,37,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-24,2025,7,24,3,40,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-25,2025,7,25,4,86,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-26,2025,7,26,5,251,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-27,2025,7,27,6,272,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-28,2025,7,28,0,95,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-29,2025,7,29,1,146,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-30,2025,7,30,2,148,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-07-31,2025,7,31,3,141,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-01,2025,8,1,4,213,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-02,2025,8,2,5,289,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-03,2025,8,3,6,234,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-04,2025,8,4,0,158,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
